Continente,Código País, País o  territorio
1,102,AUSTRIA
1,103,BELGICA
1,104,BULGARIA
1,106,CHIPRE
1,107,DINAMARCA
1,108,ESPAÑA
1,109,FINLANDIA
1,110,FRANCIA
1,111,GRECIA
1,112,HUNGRIA
1,113,IRLANDA
1,115,ITALIA
1,117,LUXEMBURGO
1,118,MALTA
1,121,PAISES BAJOS
1,122,POLONIA
1,123,PORTUGAL
1,125,REINO UNIDO
1,126,ALEMANIA
1,128,RUMANIA
1,131,SUECIA
1,136,LETONIA
1,141,ESTONIA
1,142,LITUANIA
1,143,REPUBLICA CHECA
1,144,REPUBLICA ESLOVACA
1,147,ESLOVENIA
1,198,OTROS PAISES O TERRITORIOS DE LA UNION EUROPEA
2,101,ALBANIA
2,114,ISLANDIA
2,116,LIECHTENSTEIN
2,119,MONACO
2,120,NORUEGA
2,124,ANDORRA
2,129,SAN MARINO
2,130,SANTA SEDE
2,132,SUIZA
2,135,UCRANIA
2,137,MOLDAVIA
2,138,BELARUS
2,139,GEORGIA
2,145,BOSNIA Y HERZEGOVINA
2,146,CROACIA
2,148,ARMENIA
2,154,RUSIA
2,156,MACEDONIA 
2,157,SERBIA
2,158,MONTENEGRO
2,170,GUERNESEY
2,171,SVALBARD Y JAN MAYEN
2,172,ISLAS FEROE
2,173,ISLA DE MAN
2,174,GIBRALTAR
2,175,ISLAS DEL CANAL
2,176,JERSEY
2,177,ISLAS ALAND
2,436,TURQUIA
2,199,OTROS PAISES O TERRITORIOS DEL RESTO DE EUROPA
3,201,BURKINA FASO
3,202,ANGOLA
3,203,ARGELIA
3,204,BENIN
3,205,BOTSWANA
3,206,BURUNDI
3,207,CABO VERDE
3,208,CAMERUN
3,209,COMORES
3,210,CONGO
3,211,COSTA DE MARFIL
3,212,DJIBOUTI
3,213,EGIPTO
3,214,ETIOPIA
3,215,GABON
3,216,GAMBIA
3,217,GHANA
3,218,GUINEA
3,219,GUINEA-BISSAU
3,220,GUINEA ECUATORIAL
3,221,KENIA
3,222,LESOTHO
3,223,LIBERIA
3,224,LIBIA
3,225,MADAGASCAR
3,226,MALAWI
3,227,MALI
3,228,MARRUECOS
3,229,MAURICIO
3,230,MAURITANIA
3,231,MOZAMBIQUE
3,232,NAMIBIA
3,233,NIGER
3,234,NIGERIA
3,235,REPUBLICA CENTROAFRICANA
3,236,SUDAFRICA
3,237,RUANDA
3,238,SANTO TOME Y PRINCIPE
3,239,SENEGAL
3,240,SEYCHELLES
3,241,SIERRA LEONA
3,242,SOMALIA
3,243,SUDAN
3,244,SWAZILANDIA
3,245,TANZANIA
3,246,CHAD
3,247,TOGO
3,248,TUNEZ
3,249,UGANDA
3,250,REP.DEMOCRATICA DEL CONGO
3,251,ZAMBIA
3,252,ZIMBABWE
3,253,ERITREA
3,260,SANTA HELENA
3,261,REUNION
3,262,MAYOTTE
3,263,SAHARA OCCIDENTAL
3,299,OTROS PAISES O TERRITORIOS DE AFRICA
4,301,CANADA
4,302,ESTADOS UNIDOS DE AMERICA
4,303,MEXICO
4,370,SAN PEDRO Y MIQUELON 
4,371,GROENLANDIA
4,396,OTROS PAISES  O TERRITORIOS DE AMERICA DEL NORTE
5,310,ANTIGUA Y BARBUDA
5,311,BAHAMAS
5,312,BARBADOS
5,313,BELICE
5,314,COSTA RICA
5,315,CUBA
5,316,DOMINICA
5,317,EL SALVADOR
5,318,GRANADA
5,319,GUATEMALA
5,320,HAITI
5,321,HONDURAS
5,322,JAMAICA
5,323,NICARAGUA
5,324,PANAMA
5,325,SAN VICENTE Y LAS GRANADINAS
5,326,REPUBLICA DOMINICANA
5,327,TRINIDAD Y TOBAGO
5,328,SANTA LUCIA
5,329,SAN CRISTOBAL Y NIEVES
5,380,ISLAS CAIMÁN
5,381,ISLAS TURCAS Y CAICOS
5,382,ISLAS VÍRGENES DE LOS ESTADOS UNIDOS
5,383,GUADALUPE
5,384,ANTILLAS HOLANDESAS
5,385,SAN MARTIN (PARTE FRANCESA)
5,386,ARUBA
5,387,MONTSERRAT
5,388,ANGUILLA
5,389,SAN BARTOLOME
5,390,MARTINICA
5,391,PUERTO RICO
5,392,BERMUDAS
5,393,ISLAS VIRGENES BRITANICAS
5,398,OTROS PAISES O TERRITORIOS DEL CARIBE Y AMERICA CENTRAL
6,340,ARGENTINA
6,341,BOLIVIA
6,342,BRASIL
6,343,COLOMBIA
6,344,CHILE
6,345,ECUADOR
6,346,GUYANA
6,347,PARAGUAY
6,348,PERU
6,349,SURINAM
6,350,URUGUAY
6,351,VENEZUELA
6,394,GUAYANA FRANCESA
6,395,ISLAS MALVINAS
6,399,OTROS PAISES O TERRITORIOS  DE SUDAMERICA
7,401,AFGANISTAN
7,402,ARABIA SAUDI
7,403,BAHREIN
7,404,BANGLADESH
7,405,MYANMAR
7,407,CHINA
7,408,EMIRATOS ARABES UNIDOS
7,409,FILIPINAS
7,410,INDIA
7,411,INDONESIA
7,412,IRAQ
7,413,IRAN
7,414,ISRAEL
7,415,JAPON
7,416,JORDANIA
7,417,CAMBOYA
7,418,KUWAIT
7,419,LAOS
7,420,LIBANO
7,421,MALASIA
7,422,MALDIVAS
7,423,MONGOLIA
7,424,NEPAL
7,425,OMAN
7,426,PAKISTAN
7,427,QATAR
7,430,COREA
7,431,COREA DEL NORTE 
7,432,SINGAPUR
7,433,SIRIA
7,434,SRI LANKA
7,435,TAILANDIA
7,437,VIETNAM
7,439,BRUNEI
7,440,ISLAS MARSHALL
7,441,YEMEN
7,442,AZERBAIYAN
7,443,KAZAJSTAN
7,444,KIRGUISTAN
7,445,TADYIKISTAN
7,446,TURKMENISTAN
7,447,UZBEKISTAN
7,448,ISLAS MARIANAS DEL NORTE
7,449,PALESTINA
7,450,HONG KONG
7,453,BHUTÁN
7,454,GUAM
7,455,MACAO
7,499,OTROS PAISES O TERRITORIOS DE ASIA
8,501,AUSTRALIA
8,502,FIJI
8,504,NUEVA ZELANDA
8,505,PAPUA NUEVA GUINEA
8,506,ISLAS SALOMON
8,507,SAMOA
8,508,TONGA
8,509,VANUATU
8,511,MICRONESIA
8,512,TUVALU
8,513,ISLAS COOK
8,515,NAURU
8,516,PALAOS
8,517,TIMOR ORIENTAL
8,520,POLINESIA FRANCESA
8,521,ISLA NORFOLK
8,522,KIRIBATI
8,523,NIUE
8,524,ISLAS PITCAIRN
8,525,TOKELAU
8,526,NUEVA CALEDONIA
8,527,WALLIS Y FORTUNA
8,528,SAMOA AMERICANA
8,599,OTROS PAISES O TERRITORIOS DE OCEANIA